Designator,Mid X,Mid Y,Layer,Rotation
BATTERY, 1.91, 1.91,Top,270.0
BUTTON, 0.66, 8.89,Top,90.0
C1,41.15, 7.24,Top,0.0
C2,41.66, 8.76,Top,0.0
C3,41.66,10.79,Top,0.0
C4,20.19, 3.05,Top,90.0
C5,38.48,11.63,Top,180.0
C6,26.54, 2.92,Top,90.0
C7,15.24, 7.49,Top,270.0
C8,18.03,-5.03,Top,270.0
C9,20.19, 6.60,Top,270.0
C10,27.30,-8.38,Top,0.0
C11,26.80,-6.86,Top,0.0
C12,25.02,-8.13,Top,270.0
C13,26.54, 8.26,Top,90.0
C14,28.70,-11.35,Top,180.0
C15, 8.61, 1.73,Top,90.0
C16,18.77,-1.47,Top,0.0
C29, 5.08,10.67,Top,0.0
CHARGER,12.04, 0.99,Top,0.0
CHARGING,35.71,14.78,Top,270.0
D1,14.53,-5.46,Top,270.0
D2,10.41,-6.53,Top,180.0
D8, 6.73,-14.94,Top,90.0
D9,18.80,-14.99,Top,90.0
D10,15.24,-7.75,Top,180.0
IC2,38.11, 0.02,Top,270.0
IC3,23.72,-4.50,Top,90.0
J1,28.58,11.81,Top,0.0
J2,20.32,11.81,Top,0.0
J3,41.27,-11.81,Top,180.0
J5,35.31,-11.81,Top,180.0
J6,12.70,-16.51,Top,0.0
JP1,42.67,-8.89,Top,270.0
LDO,23.37, 0.89,Top,0.0
LDO_S,23.37, 6.22,Top,0.0
LED_IO9,29.85,-13.97,Top,180.0
NTC,23.50,-15.24,Top,0.0
PGOOD,34.52,14.78,Top,270.0
Q1,28.70,-4.06,Top,270.0
R1,38.99,10.59,Top,180.0
R2,17.25,10.54,Top,270.0
R3, 6.86,-12.07,Top,270.0
R4,26.75,-1.85,Top,270.0
R5,37.59, 8.89,Top,180.0
R6,13.87, 7.49,Top,90.0
R7,16.28, 7.49,Top,90.0
R8, 8.23,-2.06,Top,90.0
R9,28.70,-5.84,Top,180.0
R10,18.41,-12.07,Top,270.0
R11, 8.03, 6.22,Top,270.0
R12,18.29,10.54,Top,270.0
R13,30.10, 0.84,Top,270.0
R14,28.30,-1.88,Top,0.0
R15,40.64,-8.51,Top,180.0
R16,15.06, 1.93,Top,0.0
R17,12.01, 4.17,Top,90.0
R18, 9.93,-1.50,Top,270.0
R21,23.52, 4.01,Top,0.0
R22,15.01,-0.71,Top,180.0
R23,12.95,-1.60,Top,180.0
RESET,39.37,14.48,Top,180.0
S1,11.38,12.27,Top,180.0
SOLAR, 1.91,-6.99,Top,270.0
ADC,14.94, 8.33,Bottom,270.0
CH_CURRENT, 4.98, 2.49,Bottom,270.0
I2C_PULL-UP,20.19,15.47,Bottom,0.0
JP2,23.50,-15.37,Bottom,0.0
