Comment,Designator,Footprint,LCSC Part #
1.65k,R11,R0603,C22845
1uF,C3 C6,C0603,
2k7,R5,R0603,
4.7uF,C4,C0603,C19666
4k7,R3,R0603,
10k,R1 R2 R4,R0603,
10uF,C2,C0603,
100k,R7,R0603,
100nF,C1 C5,C0603,
330,R10,R0603,
330k,R6,R0603,
470,R8,R0603,
BAT60B,D1 D2,SOD323-R,C514095
ESP-12S,ESP-12,ESP12-SMD,C82898
HT7833,LDO,SOT89-BCE,C50936
JST-XH-2/90SMD,BATTERY SOLAR,S2B-XH-SM4,
JUMPER-SMT_2_NO_NO-SILK,SLEEP,SMT-JUMPER_2_NO_NO-SILK,
RED,CHARGING,CHIP-LED0603,C72044
SLIDE_SW,OFF->ON,JS102011SAQN,
TP4054,CHARGER,SOT-23-5,
TS-1088R-02026,FLASH RESET,TS1088R02026,
U254-051T-4BH23-S2B,J1,USB-B-MICRO-SMD,C319164
