Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,-6.09,21.80,Top,90.0
C1,21.84,21.23,Top,180.0
C2,21.84,18.59,Top,180.0
C3,21.84,23.88,Top,0.0
C4,21.84,15.62,Top,0.0
C5,35.13,31.09,Top,270.0
C6,10.87,12.74,Top,270.0
CHARGER,11.84,17.07,Top,90.0
CHARGING,16.18,11.50,Top,270.0
D1, 7.05,12.22,Top,180.0
D2,16.18, 7.65,Top,270.0
ESP-12,37.38,16.61,Top,180.0
FLASH,38.99, 2.03,Top,180.0
J1,17.53, 1.98,Top,270.0
LDO,17.83,21.79,Top,270.0
Q1,12.62,22.94,Top,0.0
R1,21.84,10.34,Top,0.0
R2,21.84,12.98,Top,0.0
R3,29.83, 1.96,Top,90.0
R4,32.43, 1.91,Top,90.0
R5,25.98, 1.93,Top,270.0
R6,25.65,31.09,Top,90.0
R7,28.24,31.09,Top,270.0
R8,30.82,31.09,Top,270.0
R9,12.62,21.18,Top,180.0
R10,16.18,14.54,Top,270.0
R11,13.03,12.74,Top,90.0
R14,12.62,24.69,Top,0.0
RESET,38.99,30.99,Top,0.0
SOLAR,-6.09,11.20,Top,90.0
SW1,8.43,28.78,Top,180.0
