Comment,Designator,Footprint,LCSC Part #
1k,R10,R0402,
1k65,R15,R0402,
1uF,C3 C6,C0603,
3k3,R16,R0402,
4k7,R2,R0603,
5k1,R3 R5,R0402,
10k,R1,R0603,
10k,R4 R9 R12 R13 R14,R0402,
22uF,C2 C4,C0603,
100k,R6,R0402,
100nF,C1,C0603,
100nF,C5,C0402K,
330k,R7,R0402,
BAT60B,D1 D2,SOD323-R,
HT7833,LDO,SOT23-5,
JST-PH-2/90SMD,BATTERY SOLAR,S2B-PH-SM4,C47647
MMDT3904,Q1,SC70-6,C268586
RED,CHARGING,CHIP-LED0603,
TA-3531-A2,SW1,TA-3530A-A2,C514025
TP4054,CHARGER,SOT-23-5,
TS-1088R-02026,FLASH RESET,TS1088R02026,
USB-C_2-16PIN,J3,USBC_USB-C-16P-5,C2837092
ESP32-C3,U2,ESP32-C3,C2838647
MSUP_V,J2,MSUP_4P_V,C371588
