Comment,Designator,Footprint,LCSC Part #
100n,C8,C0402,
1.2k,R7,R0402,
1k,R6,R0402,
1uF,C3 C6 C7,C0603,
3.2k,R10,R0402,
4k7,R2,R0603,
5k1,R3 R5,R0402,
10k,R1,R0603,
10k,R4 R9 R12 R13 R14 R17,R0402,
22k,R8,R0402,
22uF,C2 C4,C0603,
100nF,C1,C0603,
100nF,C5,C0402K,
BAT60B,D1 D2,SOD323-R,
CN3165,U1,DFN300X300X90-9N,
ESP32-C3,U2,AI-THINKERESP-C3-12F_ALL,
GREEN,DONE,CHIP-LED0603,
HT78XX-SOT23-5SOT23-5,LDO,SOT23-5,
JST-PH-2/90SMD,BATTERY SOLAR,S2B-PH-SM4,C47647
MAX17048,U3,TDFN-8,C2682616
MMDT3904,Q1,SC70-6,C268586
RED,CHARGING,CHIP-LED0603,
TA-3531-A2,SW1,TA-3530A-A2,C514025
TS-1088R-02026,FLASH RESET,TS1088R02026,
USB-C_2-16PIN,J3,USBC_USB-C-16P-5,C2837092
MSUP_V,J2,MSUP_4P_V,C371588
NTC10k,TH1,TH,C13879
