Comment,Designator,Footprint,LCSC Part #
1.3M,R7,R0402,
1M,R6 R17,R0402,
1k,R10,R0402,
1k65,R15,R0402,
3k3,R16,R0402,
4k7,R2,R0402,
5k1,R3 R5,R0402,
10k,R1 R4 R9 R11 R12 R13 R14 R18 R19,R0402,
22uF,C2 C3 C4 C6 C10 C14 C15,C0603,
100k,R8,R0402,
100n,C11 C12,C0402,
100nF,C1 C5 C7,C0402,
AO3401,Q2,SOT23,
AP2191WG-7,IC4,SOT25,C141321
BAT60B,D1 D2 D3,SOD323-R,C514095
CH9102F,IC3,QFN24-4X4,
ESP32-C3-MINI-1-N4,IC1,ESP32C3MINI1N4,
HT78XX-SOT23-5SOT23-5,LDO,SOT23-5,
JST-PH-2/90SMD,BATTERY SOLAR,S2B-PH-SM4,C47647
JST-SH-4P/SMD,J2,1X04_1MM_RA_VERT,C371588
JUMPER-SMT_2_NO_NO-SILK,I2C_PULLUPS,SMT-JUMPER_2_NO_NO-SILK,
ME6211C33M5G,IC5,SOT23-5,
MMDT3904,Q1,SC70-6,C268586
POLIFUSE0500805L,F1 F2,0805L,C66452
RED,CHRG,CHIP-LED0603,
TA-3531-A2,SW1,TA-3530A-A2,C514025
TP4054,CHARGER,SOT-23-5,
TS-1088R-02026,FLASH RESET,TS1088R02026,
USB-C_2-16PIN,J3,USBC_USB-C-16P-5,C2837092
