Comment,Designator,Footprint,JLCPCB Part
1k65,R11,R0603,C22845
1uF,C3 C6,C0603,
2k7,R5,R0603,
4 7uF,C4,C0603,C19666
4k7,R3,R0603,
10k,R1 R2 R4,R0603,
10k,R9 R14,R0402,
10uF,C2,C0603,
100k,R7,R0603,
100nF,C1 C5,C0603,
330,R10,R0603,
330k,R6,R0603,
470,R8,R0603,
BAT60B,D1 D2,SOD323-R,C22638
ESP-12S,ESP-12,ESP12-SMD,C82898
HT78XX-SOT23-5SOT23-5,LDO,SOT23-5,C164106
JST-PH-2/90SMD,BATTERY SOLAR,S2B-PH-SM4,C47647
MMDT3904,Q1,SC70-6,C268586
RED,CHARGING,CHIP-LED0603,
TP4054,CHARGER,SOT-23-5,
TS-1088R-02026,FLASH RESET,TS1088R02026,
MicroXNJ,J1,MicroXNJ,C404969
SLIDE_SW,SW1,TA-3531-A2,C514025
