Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,-6.09,21.80,Top,90.0
C1,20.77,21.18,Top,180.0
C2,20.77,18.54,Top,180.0
C3,20.77,23.83,Top,0.0
C4,20.77,15.57,Top,0.0
C5,34.08,31.34,Top,270.0
C6, 5.88,14.76,Top,180.0
C7, 6.71,19.94,Top,180.0
C8,10.03,19.18,Top,90.0
CHARGING,14.50,13.72,Top,90.0
D1, 5.98,12.19,Top,180.0
D2,16.15, 8.48,Top,270.0
DONE,14.50,12.50,Top,90.0
FLASH,38.10, 2.03,Top,180.0
J2,16.32,31.90,Top,180.0
J3,13.72, 6.32,Top,0.0
LDO,16.89,21.74,Top,270.0
Q1,11.56,21.87,Top,270.0
R1,20.77,12.93,Top,0.0
R2,20.77,10.26,Top,0.0
R3, 7.95, 4.90,Top,270.0
R4,29.39, 2.02,Top,0.0
R5,19.48, 4.90,Top,270.0
R6,14.50,10.08,Top,270.0
R7, 8.36,15.77,Top,270.0
R8, 9.91,15.27,Top,180.0
R9,12.27,20.07,Top,180.0
R10, 5.97,10.69,Top,0.0
R12,22.45,28.65,Top,90.0
R13,21.39,28.65,Top,90.0
R14,11.56,23.62,Top,0.0
R17,22.94, 6.58,Top,270.0
RESET,38.10,30.99,Top,0.0
SOLAR,-6.09,11.20,Top,90.0
SW1, 5.03,28.78,Top,180.0
TH1, 3.78, 5.54,Top,0.0
U1,10.19,12.95,Top,0.0
U2,31.47,16.61,Top,180.0
U3,12.85,18.44,Top,270.0
