Designator,Mid X,Mid Y,Layer,Rotation
BATT, 1.91, 1.91,Top,270.0
BUTTON, 0.66, 8.89,Top,90.0
C1,41.15, 7.24,Top,0.0
C2,41.66, 8.76,Top,0.0
C4,20.19, 2.92,Top,90.0
C5,40.01,11.30,Top,180.0
C6,26.54, 2.92,Top,90.0
C7,12.67, 8.51,Top,270.0
C8,18.41,-5.08,Top,270.0
C9,20.19, 8.26,Top,90.0
C10,27.30,-8.38,Top,0.0
C11,26.80,-6.86,Top,0.0
C12,25.02,-8.13,Top,270.0
C13,26.54, 8.26,Top,90.0
C14,28.70,-11.35,Top,180.0
C15,16.89,-0.76,Top,270.0
C16,16.38,-5.08,Top,270.0
C29, 5.08,10.67,Top,0.0
CHARGING,13.21, 3.18,Top,180.0
D1,14.53,-5.46,Top,270.0
D8, 6.73,-14.94,Top,90.0
D9,18.80,-14.99,Top,90.0
D10,15.24,-7.75,Top,180.0
DONE,14.61, 3.18,Top,180.0
IC1,38.10, 0.00,Top,270.0
IC3,23.72,-4.50,Top,90.0
J1,28.58,11.81,Top,0.0
J2,20.32,11.81,Top,0.0
J3,41.27,-11.81,Top,180.0
J5,35.31,-11.81,Top,180.0
J6,12.70,-16.51,Top,0.0
LDO,23.37, 0.89,Top,0.0
LDO_S,23.37, 6.22,Top,0.0
LED_IO9,29.87,-13.94,Top,180.0
LM66200, 8.64, 6.35,Top,90.0
NTC,23.50,-15.24,Top,0.0
Q1,28.70,-4.06,Top,270.0
Q3,11.68,-6.10,Top,90.0
R1,40.01,10.29,Top,180.0
R2,17.27, 9.78,Top,270.0
R3, 6.86,-12.07,Top,270.0
R4,26.80,-4.19,Top,270.0
R5,37.59, 8.89,Top,180.0
R6,15.11, 8.51,Top,90.0
R7,13.69, 8.51,Top,90.0
R8, 9.91,-2.54,Top,270.0
R9,28.70,-5.84,Top,180.0
R10,18.41,-12.07,Top,270.0
R11, 8.89,-2.54,Top,270.0
R12,18.29, 9.78,Top,270.0
R13,16.00, 3.51,Top,270.0
R14,28.30,-1.80,Top,0.0
R15,40.64,-8.51,Top,180.0
R19,10.92,-2.54,Top,270.0
R20,12.57,-3.43,Top,0.0
R21,33.66, 8.51,Top,180.0
R22, 9.83,-8.76,Top,0.0
RESET,39.37,14.48,Top,180.0
S1,11.38,12.27,Top,180.0
SOLAR, 1.91,-6.99,Top,270.0
U2,14.02,-0.76,Top,90.0
