Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,-6.09,21.80,Top,90.0
C1,39.81,24.00,Top,0.0
C2,10.74,19.92,Top,90.0
C3,11.75,22.48,Top,0.0
C4,12.80,19.91,Top,90.0
C5,34.08,30.99,Top,270.0
C6, 8.20,11.37,Top,270.0
C7,29.13,31.09,Top,90.0
C10, 9.19, 8.13,Top,180.0
C11,18.95,11.23,Top,0.0
C12,17.32,10.41,Top,270.0
C14,14.86,22.48,Top,180.0
C15,19.02,18.44,Top,90.0
CHARGER, 6.58,15.34,Top,270.0
CHRG,11.25,13.88,Top,0.0
D1, 4.53,12.19,Top,180.0
D2,11.25,11.10,Top,270.0
D3, 7.21,25.35,Top,90.0
F1, 9.80,24.26,Top,180.0
F2,14.50,24.26,Top,180.0
FLASH,38.10, 2.03,Top,180.0
I2C_PULLUPS,21.92,30.71,Top,90.0
IC1,36.91,16.50,Top,270.0
IC3,16.23,13.92,Top,90.0
IC4,18.31,22.94,Top,0.0
IC5,16.41,18.90,Top,270.0
J2,16.30,28.37,Top,0.0
J3,13.72, 6.63,Top,0.0
LDO, 7.75,20.35,Top,270.0
Q1,21.26,14.35,Top,270.0
Q2,11.94,27.10,Top,270.0
R1,34.79,24.00,Top,0.0
R2, 4.93, 2.23,Top,90.0
R3, 7.95, 4.90,Top,270.0
R4,19.31,14.20,Top,270.0
R5,19.48, 4.90,Top,270.0
R6,26.92,31.09,Top,90.0
R7,28.04,31.09,Top,270.0
R8, 6.48, 9.14,Top,90.0
R9,21.26,12.60,Top,180.0
R10,11.25,16.14,Top,270.0
R11, 5.44, 9.14,Top,90.0
R12,21.39,28.65,Top,90.0
R13,22.45,28.65,Top,90.0
R14,21.26,16.10,Top,0.0
R15, 9.25,13.41,Top,0.0
R16, 9.25,15.82,Top,0.0
R17,20.40,23.75,Top,90.0
R19,21.44,23.75,Top,90.0
RESET,38.10,30.99,Top,180.0
SOLAR,-6.09,11.20,Top,90.0
SW1, 5.03,28.78,Top,180.0
